hero_id,last_played,games,win,with_games,with_win,against_games,against_win
54,1478353341,76,39,49,19,74,44
9,1465909434,63,31,107,56,147,69
46,1400746310,57,21,39,19,46,25
25,1530028662,52,33,45,15,67,37
62,1478876242,48,29,98,49,120,66
22,1479480810,44,30,74,50,85,33
63,1469784482,37,21,56,25,82,40
64,1392277522,37,20,23,15,36,19
26,1530342959,37,16,71,32,103,52
88,1477836608,34,16,35,12,57,32
93,1479394215,34,16,73,35,92,45
48,1477830974,32,21,61,38,62,24
6,1478880835,31,13,120,68,137,68
44,1440830888,31,18,111,50,133,67
35,1478282136,28,14,182,91,249,115
2,1478277499,26,15,80,30,109,56
1,1477669072,26,13,81,37,103,54
53,1436084845,25,11,66,28,106,62
16,1479478362,25,10,37,17,78,39
98,1530196876,24,11,35,14,48,27
56,1461468904,22,10,49,29,41,27
12,1475590575,22,7,73,44,55,28
5,1518410054,22,7,52,34,80,43
7,1528530109,20,11,78,38,99,53
39,1461491195,20,11,62,25,79,45
21,1439171782,19,7,86,39,120,56
71,1481377827,18,10,99,57,114,52
20,1465387563,18,7,66,37,54,21
76,1477750994,15,7,30,11,49,30
75,1445658920,15,8,60,29,49,17
57,1477159599,15,8,36,21,44,18
50,1527600593,14,6,25,11,42,23
67,1479483803,13,9,33,15,43,22
11,1432452636,12,4,79,39,114,50
105,1437905396,12,6,40,21,37,22
95,1443262637,12,7,37,20,40,17
41,1421028638,11,6,54,19,81,46
8,1429945327,11,9,96,48,113,55
86,1426683128,11,2,41,16,78,49
30,1463196953,11,10,57,34,56,22
89,1400675162,10,4,16,8,28,12
47,1481381967,10,7,80,39,76,38
45,1528382977,10,5,35,21,27,14
55,1401264362,10,6,18,11,29,18
85,1445657038,9,4,24,13,30,16
99,1474550951,9,4,68,31,62,31
65,1467813939,8,3,8,0,26,16
72,1431401690,8,5,29,15,46,22
101,1477834907,8,3,43,22,38,14
106,1479486539,7,4,40,14,31,19
97,1477583373,7,4,24,13,42,28
29,1435306812,7,4,47,28,52,26
73,1477666302,6,2,51,24,67,38
102,1425782279,6,3,53,34,54,24
37,1425006916,5,3,35,25,33,8
17,1469364237,5,4,45,20,82,53
68,1427964292,5,1,34,21,27,10
40,1446864358,5,3,29,15,38,21
15,1477499590,5,4,32,14,40,15
112,1448836916,5,2,13,7,13,8
33,1434677952,5,3,22,14,25,11
109,1398151183,4,2,12,5,22,12
61,1424999689,4,1,11,5,21,13
27,1514641971,4,0,28,13,44,17
74,1410268514,4,1,101,51,139,67
3,1462542484,4,2,26,10,25,17
31,1469276693,3,2,28,16,32,14
32,1476613327,3,1,120,64,136,75
59,1528380502,3,1,51,24,71,31
19,1410178147,3,0,31,19,73,46
107,1465711749,3,2,14,3,16,8
49,1390649148,3,2,39,25,54,27
14,1430129860,3,2,196,108,221,103
43,1446992684,3,1,37,16,34,13
96,1400575330,2,2,71,37,41,16
70,1528526212,2,2,48,28,56,25
10,1398419970,2,0,28,13,38,21
18,1462539868,2,0,44,18,68,29
28,1465637233,2,1,48,21,67,29
34,1478350338,2,1,42,15,63,36
51,1390352796,2,0,38,15,56,25
52,1435457596,2,0,16,7,19,12
84,1432456243,2,1,42,22,68,39
69,1407587243,2,1,39,21,54,26
60,1464610019,2,1,23,16,30,14
58,1399983817,1,0,25,10,21,11
91,1381654329,1,0,5,3,12,6
82,1367070152,1,1,17,8,36,20
77,1395391259,1,0,23,11,28,19
42,1372403690,1,1,85,54,71,35
81,1382008703,1,0,29,11,32,17
66,1399795901,1,1,10,4,9,7
80,0,0,0,20,10,25,14
90,0,0,0,32,16,37,22
87,0,0,0,35,18,36,18
92,0,0,0,9,4,14,9
38,0,0,0,18,7,10,5
36,0,0,0,39,22,62,29
100,0,0,0,46,26,37,20
83,0,0,0,20,12,14,9
94,0,0,0,34,17,39,18
103,0,0,0,11,4,18,9
104,0,0,0,64,34,93,57
23,0,0,0,72,32,65,29
79,0,0,0,15,6,13,5
13,0,0,0,32,15,45,29
108,0,0,0,3,1,3,1
78,0,0,0,10,7,15,5
110,0,0,0,7,6,13,4
111,0,0,0,6,2,9,7
4,0,0,0,67,38,120,50
113,0,0,0,0,0,2,1
114,0,0,0,0,0,2,0
119,0,0,0,0,0,0,0
120,0,0,0,1,0,1,1
